"crash_date","crash_time","borough","zip_code","latitude","longitude","location","on_street_name","off_street_name","cross_street_name","number_of_persons_injured","number_of_persons_killed","number_of_pedestrians_injured","number_of_pedestrians_killed","number_of_cyclist_injured","number_of_cyclist_killed","number_of_motorist_injured","number_of_motorist_killed","contributing_factor_vehicle_1","contributing_factor_vehicle_2","contributing_factor_vehicle_3","contributing_factor_vehicle_4","contributing_factor_vehicle_5","collision_id","vehicle_type_code1","vehicle_type_code2","vehicle_type_code_3","vehicle_type_code_4","vehicle_type_code_5"
"2021-04-14T00:00:00.000","20:14",,,"40.801285","-73.95394","
,  
(40.801285, -73.95394)","7 AVENUE",,,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407765","Sedan","Sedan",,,
"2021-04-14T00:00:00.000","15:16","BROOKLYN","11220","40.633976","-74.02211","
,  
(40.633976, -74.02211)",,,"459       BAY RIDGE AVENUE","1","0","0","0","0","0","1","0","Passing Too Closely","Unspecified",,,,"4407821","Sedan","Sedan",,,
"2021-04-14T00:00:00.000","14:30",,,,,,"EASTCHESTER ROAD","PELHAM PARKWAY NORTH",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407520","Bus",,,,
"2021-04-15T00:00:00.000","19:30",,,"40.670296","-73.997604","
,  
(40.670296, -73.997604)","GOWANUS EXPY (BQE)",,,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4407971","Sedan",,,,
"2022-07-20T00:00:00.000","17:27",,,,,,"ASTOR PLACE",,,"1","0","0","0","1","0","0","0","Passing Too Closely","Passing Too Closely",,,,"4548963","Bike","SKATEBOARD",,,
"2020-12-31T00:00:00.000","16:30",,,,,,"BELT PARKWAY                    ",,,"0","0","0","0","0","0","0","0","Reaction to Uninvolved Vehicle",,,,,"4380668","Sedan",,,,
"2021-04-16T00:00:00.000","13:15",,,"40.66423","-73.919106","
,  
(40.66423, -73.919106)","HOWARD AVENUE","BLAKE AVENUE",,"0","0","0","0","0","0","0","0","View Obstructed/Limited","Driver Inexperience",,,,"4408071","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2021-04-14T00:00:00.000","21:08","BRONX","10451","40.817696","-73.922615","
,  
(40.817696, -73.922615)",,,"558       MORRIS AVENUE","0","0","0","0","0","0","0","0","Steering Failure","Unspecified",,,,"4407430","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2021-04-13T00:00:00.000","20:34","BROOKLYN","11213","40.668495","-73.925606","
,  
(40.668495, -73.925606)","EASTERN PARKWAY","BUFFALO AVENUE",,"1","0","1","0","0","0","0","0","Failure to Yield Right-of-Way",,,,,"4408259","Sedan",,,,
"2021-04-15T00:00:00.000","12:16","BRONX","10460","40.841087","-73.86447","
,  
(40.841087, -73.86447)","EAST TREMONT AVENUE","WHITE PLAINS ROAD",,"0","0","0","0","0","0","0","0","Traffic Control Disregarded","Unspecified",,,,"4407592","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"2021-04-15T00:00:00.000","18:15","BROOKLYN","11211","40.70955","-73.95887","
,  
(40.70955, -73.95887)","HAVEMEYER STREET","SOUTH 5 STREET",,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4407674","Sedan",,,,
"2021-04-15T00:00:00.000","19:30",,,"40.733376","-73.86665","
,  
(40.733376, -73.86665)","LONG ISLAND EXPRESSWAY",,,"1","0","0","0","0","0","1","0","Passing or Lane Usage Improper","Unspecified",,,,"4407708","Sedan","Sedan",,,
"2021-04-14T00:00:00.000","21:04","BROOKLYN","11206","40.700356","-73.95732","
,  
(40.700356, -73.95732)",,,"693       BEDFORD AVENUE","1","0","0","0","0","0","1","0","Drugs (illegal)","Unspecified",,,,"4408396","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"2021-04-14T00:00:00.000","1:40",,,"40.83801","-73.87329","
,  
(40.83801, -73.87329)","BRONX RIVER PARKWAY",,,"0","0","0","0","0","0","0","0","Other Vehicular","Unsafe Speed",,,,"4407152","Sedan","Sedan",,,
"2021-04-16T00:00:00.000","18:00",,,"40.66584","-73.75551","
,  
(40.66584, -73.75551)","BELT PARKWAY",,,"0","0","0","0","0","0","0","0","Reaction to Uninvolved Vehicle","Unspecified",,,,"4407862","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-04-14T00:00:00.000","8:30",,,,,,"WHITESTONE EXPRESSWAY",,,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4407435","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-04-15T00:00:00.000","12:05",,,"40.761436","-73.76995","
,  
(40.761436, -73.76995)","BELL BOULEVARD",,,"1","0","1","0","0","0","0","0","Driver Inattention/Distraction",,,,,"4407636","Station Wagon/Sport Utility Vehicle",,,,
"2021-04-16T00:00:00.000","11:00","QUEENS","11368","40.74958","-73.86541","
,  
(40.74958, -73.86541)",,,"100-10    ROOSEVELT AVENUE","1","0","0","0","1","0","0","0","Turning Improperly","Unspecified",,,,"4407792","Station Wagon/Sport Utility Vehicle","Bike",,,
"2021-04-16T00:00:00.000","17:00","QUEENS","11366","40.73197","-73.78651","
,  
(40.73197, -73.78651)","73 AVENUE","184 STREET",,"5","0","0","0","0","0","5","0","Traffic Control Disregarded","Unspecified",,,,"4407853","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-04-16T00:00:00.000","12:00",,,"40.76249","-73.839584","
,  
(40.76249, -73.839584)","VAN WYCK EXPWY",,,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4408205","Box Truck","Dump",,,
"2021-04-16T00:00:00.000","20:27",,,"40.668507","-73.779625","
,  
(40.668507, -73.779625)","140 AVENUE","155 STREET",,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4407945","Sedan",,,,
"2021-04-15T00:00:00.000","18:25","BROOKLYN","11203","40.638268","-73.93187","
,  
(40.638268, -73.93187)",,,"1411      SCHENECTADY AVENUE","0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4408118","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-04-12T00:00:00.000","16:08","BROOKLYN","11221","40.696735","-73.93481","
,  
(40.696735, -73.93481)","BROADWAY","STUYVESANT AVENUE",,"1","0","0","0","0","0","1","0","Unspecified","Unspecified",,,,"4408242","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"2021-04-14T00:00:00.000","11:55",,,"40.870823","-73.8721","
,  
(40.870823, -73.8721)","BRONX RIVER PARKWAY",,,"0","0","0","0","0","0","0","0","Aggressive Driving/Road Rage","Unspecified",,,,"4407563","Sedan",,,,
"2021-04-14T00:00:00.000","1:30",,,"40.574867","-74.00069","
,  
(40.574867, -74.00069)","WEST 35 STREET",,,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4408098","Sedan","Sedan",,,
"2021-04-14T00:00:00.000","3:25",,,"40.866577","-73.8722","
,  
(40.866577, -73.8722)","BRONX RIVER PARKWAY",,,"3","0","0","0","0","0","3","0","Unsafe Speed",,,,,"4407169","Station Wagon/Sport Utility Vehicle",,,,
"2021-04-16T00:00:00.000","8:05","QUEENS","11102","40.775414","-73.91984","
,  
(40.775414, -73.91984)","24 STREET","24 AVENUE",,"1","0","0","0","0","0","1","0","Following Too Closely","Unspecified",,,,"4407798","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2021-04-15T00:00:00.000","20:13","BRONX","10457","40.84744","-73.89968","
,  
(40.84744, -73.89968)","EAST TREMONT AVENUE","PARK AVENUE",,"1","0","1","0","0","0","0","0","Driver Inattention/Distraction",,,,,"4407797",,,,,
"2021-04-14T00:00:00.000","16:30","STATEN ISLAND","10308","40.542908","-74.15579","
,  
(40.542908, -74.15579)","ARMSTRONG AVENUE","SYCAMORE STREET",,"2","0","0","0","0","0","2","0","Failure to Yield Right-of-Way","Unspecified","Unspecified","Unspecified",,"4407349","Station Wagon/Sport Utility Vehicle","Sedan","Sedan","Sedan",
"2021-04-14T00:00:00.000","20:15",,,"40.78468","-73.80911","
,  
(40.78468, -73.80911)","CLINTONVILLE STREET",,,"0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified","Unspecified",,,"4407994","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"2021-04-15T00:00:00.000","16:37","BROOKLYN","11210","40.632416","-73.94724","
,  
(40.632416, -73.94724)",,,"1582      FLATBUSH AVENUE","1","0","1","0","0","0","0","0","Driver Inattention/Distraction",,,,,"4408032","Sedan",,,,
"2021-04-15T00:00:00.000","6:05","BROOKLYN","11237","40.714207","-73.92817","
,  
(40.714207, -73.92817)","METROPOLITAN AVENUE","STEWART AVENUE",,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Driver Inattention/Distraction",,,,"4407478","Sedan","Sedan",,,
"2021-04-16T00:00:00.000","8:40","QUEENS","11379","40.727913","-73.873245","
,  
(40.727913, -73.873245)","ELIOT AVENUE","85 STREET",,"1","0","1","0","0","0","0","0","Failure to Yield Right-of-Way",,,,,"4407924","Sedan",,,,
"2021-04-15T00:00:00.000","20:15","BRONX","10461","40.854485","-73.854645","
,  
(40.854485, -73.854645)",,,"2013      WILLIAMSBRIDGE ROAD","0","0","0","0","0","0","0","0","Turning Improperly",,,,,"4408315","Ambulance",,,,
"2021-04-13T00:00:00.000","23:00","BROOKLYN","11237","40.698986","-73.91671","
,  
(40.698986, -73.91671)",,,"1479      MYRTLE AVENUE","0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407892","Sedan",,,,
"2021-04-16T00:00:00.000","20:55","MANHATTAN","10032","40.841717","-73.94435","
,  
(40.841717, -73.94435)",,,"1051      RIVERSIDE DRIVE","0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4408280","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-04-15T00:00:00.000","17:25","BRONX","10475","40.861687","-73.82435","
,  
(40.861687, -73.82435)",,,"2400      HUNTER AVENUE","0","0","0","0","0","0","0","0","Unspecified",,,,,"4408403","Sedan",,,,
"2021-04-16T00:00:00.000","6:45","BROOKLYN","11221","40.691822","-73.92223","
,  
(40.691822, -73.92223)","BUSHWICK AVENUE","GROVE STREET",,"0","0","0","0","0","0","0","0","Reaction to Uninvolved Vehicle","Driver Inattention/Distraction",,,,"4407753","Station Wagon/Sport Utility Vehicle","Garbage or Refuse",,,
"2021-04-10T00:00:00.000","12:00","BRONX","10453","40.856014","-73.91213","
,  
(40.856014, -73.91213)","WEST 180 STREET","ANDREWS AVENUE",,"0","0","0","0","0","0","0","0","Unspecified","Unspecified","Unspecified",,,"4408003","Sedan","Station Wagon/Sport Utility Vehicle","Sedan",,
"2021-04-14T00:00:00.000","15:53",,,"40.83383","-73.921234","
,  
(40.83383, -73.921234)","GERARD AVENUE",,,"0","0","0","0","0","0","0","0","Reaction to Uninvolved Vehicle","Unspecified","Unspecified",,,"4407497","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,
"2021-04-09T00:00:00.000","17:00",,,"40.68781","-73.9237","
,  
(40.68781, -73.9237)","MADISON STREET",,,"0","0","0","0","0","0","0","0","Backing Unsafely","Unspecified",,,,"4408229","Station Wagon/Sport Utility Vehicle",,,,
"2021-04-14T00:00:00.000","19:10","BROOKLYN","11218","40.642044","-73.98124","
,  
(40.642044, -73.98124)","STORY STREET","CHURCH AVENUE",,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4407525","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-04-16T00:00:00.000","13:55","QUEENS","11385","40.69814","-73.89111","
,  
(40.69814, -73.89111)","COOPER AVENUE","64 PLACE",,"0","0","0","0","0","0","0","0","Unsafe Speed","Failure to Yield Right-of-Way",,,,"4407817","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"2021-04-14T00:00:00.000","0:00","BROOKLYN","11203","40.64664","-73.9246","
,  
(40.64664, -73.9246)","KINGS HIGHWAY","BEVERLEY ROAD",,"2","0","0","0","0","0","2","0","Driver Inattention/Distraction","Unspecified",,,,"4407539","Station Wagon/Sport Utility Vehicle","PK",,,
"2021-04-16T00:00:00.000","16:00",,,"40.680897","-73.95118","
,  
(40.680897, -73.95118)","ARLINGTON PLACE",,,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4408306","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-04-15T00:00:00.000","22:25","MANHATTAN","10036","40.760822","-73.99832","
,  
(40.760822, -73.99832)","WEST 42 STREET","11 AVENUE",,"1","0","1","0","0","0","0","0","Failure to Yield Right-of-Way",,,,,"4407830","Sedan",,,,
"2021-04-14T00:00:00.000","10:09","MANHATTAN","10016","40.74608","-73.974945","
,  
(40.74608, -73.974945)","2 AVENUE","EAST 36 STREET",,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4407282","Tow Truck / Wrecker","Dump",,,
"2021-04-16T00:00:00.000","0:01","BROOKLYN","11228","40.626293","-74.01572","
,  
(40.626293, -74.01572)","FORT HAMILTON PARKWAY","74 STREET",,"0","0","0","0","0","0","0","0","Driver Inexperience","Unspecified",,,,"4407688","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2021-04-15T00:00:00.000","20:45","MANHATTAN","10065","40.767967","-73.96822","
,  
(40.767967, -73.96822)","EAST 66 STREET","MADISON AVENUE",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction",,,,,"4407701","Sedan",,,,
"2021-04-15T00:00:00.000","7:00","BROOKLYN","11207","40.673634","-73.89294","
,  
(40.673634, -73.89294)",,,"472       GLENMORE AVENUE","0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407728","Sedan",,,,
"2021-04-15T00:00:00.000","10:45","BROOKLYN","11224","40.579212","-73.976265","
,  
(40.579212, -73.976265)","WEST 8 STREET","SHEEPSHEAD BAY ROAD",,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4408052","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2021-04-16T00:00:00.000","12:00","STATEN ISLAND","10306","40.57365","-74.11252","
,  
(40.57365, -74.11252)","EDISON STREET","BACHE AVENUE",,"0","0","0","0","0","0","0","0","Failure to Yield Right-of-Way","Unspecified",,,,"4407849","Sedan","Sedan",,,
"2021-04-14T00:00:00.000","6:50",,,"40.73632","-73.85631","
,  
(40.73632, -73.85631)","LONG ISLAND EXPRESSWAY",,,"0","0","0","0","0","0","0","0","Following Too Closely","Following Too Closely","Unspecified",,,"4407320","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Sedan",,
"2021-04-14T00:00:00.000","3:39","BROOKLYN","11230","40.619396","-73.969574","
,  
(40.619396, -73.969574)","OCEAN PARKWAY","AVENUE L",,"0","0","0","0","0","0","0","0","Unspecified","Unspecified","Unspecified","Unspecified",,"4407291","Sedan","Station Wagon/Sport Utility Vehicle","Sedan","Station Wagon/Sport Utility Vehicle",
"2021-04-16T00:00:00.000","22:00",,,"40.820263","-73.92976","
,  
(40.820263, -73.92976)","RIVER AVENUE",,,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4408200","Sedan",,,,
"2021-04-14T00:00:00.000","0:00",,,"40.601864","-74.00232","
,  
(40.601864, -74.00232)","BATH AVENUE",,,"1","0","0","0","1","0","0","0","Failure to Yield Right-of-Way","Unspecified",,,,"4407649","Station Wagon/Sport Utility Vehicle","Bike",,,
"2021-04-15T00:00:00.000","19:10",,,"40.810318","-73.943634","
,  
(40.810318, -73.943634)","LENOX AVENUE",,,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407802","Sedan",,,,
"2021-04-14T00:00:00.000","13:35",,,"40.666306","-73.79171","
,  
(40.666306, -73.79171)","BELT PARKWAY",,,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Unspecified","Unspecified",,,"4407345","Station Wagon/Sport Utility Vehicle","Sedan","Sedan",,
"2020-12-25T00:00:00.000","20:19",,,,,,"BRONX WHITESTONE BRIDGE         ",,,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4380494","Sedan","Sedan",,,
