"crash_record_id","rd_no","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"7e1a75d221f1f538b80def6a7c5f9f522a3309108eb18f9d0cb43e7c0eaa00b826faa099391ab318e4988c3b7ca5670033be16f0d43c080471efd354b8de2f51","JE493975",,"2021-12-31T13:30:00.000","35","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","REAR END","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2021-12-31T13:35:00.000","FOLLOWING TOO CLOSELY","NOT APPLICABLE","9501","S","HALSTED ST","2223",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","13","6","12","41.721368822","-87.643065052","POINT (-87.643065051892 41.721368822306)"
"1e45565493f63101bf704046d6ecfec55f57c832334671cf7043df50f1222915174a4053d8b6b4320262dceb519dd5720f08ae7b2a4fa2b4a668c1fc6319f2a8","JE493968",,"2021-12-31T13:30:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2021-12-31T13:45:00.000","UNABLE TO DETERMINE","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","5700","S","WENTWORTH AVE","232",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","13","6","12",,,
"06961f67044ff197083bc79024a5aaab4ebbe7c404d70d08317ff06c1f5a20bfa80d9d52cf7fb6e3c492d9980a8852196589523eefea991e0c6fb8ee7b22b6df","JE493995",,"2021-12-31T13:28:00.000","30","TRAFFIC SIGNAL","NOT FUNCTIONING","CLOUDY/OVERCAST","DAYLIGHT","ANGLE","FOUR WAY",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2021-12-31T13:49:00.000","NOT APPLICABLE","NOT APPLICABLE","4700","S","HALSTED ST","933",,,,,,,"2","NONINCAPACITATING INJURY","2","0","0","2","0","2","0","13","6","12","41.808815039","-87.645682953","POINT (-87.645682953152 41.808815039296)"
"9c863403d810d021c785ee768f4ceebdace75f5b4362125cdf5ab4878354be2fdd87dad89e20d7cc9eae3d7c87fe1663e574fa94e83f1c2aa202d086d9e6382e","JF105091",,"2021-12-31T13:00:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","OTHER NONCOLLISION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"$501 - $1,500","2022-01-06T15:45:00.000","ROAD ENGINEERING/SURFACE/MARKING DEFECTS","UNABLE TO DETERMINE","500","S","CALIFORNIA AVE","1135",,,,,,,"1","NO INDICATION OF INJURY","0","0","0","0","0","1","0","13","6","12","41.874839768","-87.696271565","POINT (-87.696271565241 41.874839767646)"
"05a62c985bffdfb91b5fc5250b8cbb4cb0a0647bb06387151c752e49874a403fd5d864f4f2549404b19aa5f49c8f1b50f934fccf990aba764670588a215d8deb","JF102122",,"2021-12-31T13:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","REAR END","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2022-01-03T13:09:00.000","FOLLOWING TOO CLOSELY","NOT APPLICABLE","4300","S","WESTERN AVE","922",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","13","6","12","41.815603205","-87.684772724","POINT (-87.684772723609 41.815603204509)"
"0ccaf8fc934aca647afd767054141022c18b74d15c78a67c7477e1885c4f2b87d180001ace77fe993a909a5c3464dc9ff14873226e5ef0fa4a8bbcf3f3a1e9f6","JE493939",,"2021-12-31T13:00:00.000","20","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2021-12-31T13:05:00.000","NOT APPLICABLE","NOT APPLICABLE","6417","S","LAPORTE AVE","813",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","13","6","12","41.775987549","-87.745714098","POINT (-87.745714097745 41.775987548972)"
"62acc5daf51d9f8af2f3e70098904e0a241fdd024b463725e54f379313b888d187472054e2414c5868c894280606c81a358b099b9d6bcd747136f83465f6bf13","JE493932",,"2021-12-31T12:47:00.000","30","NO CONTROLS","NO CONTROLS","CLOUDY/OVERCAST","DAYLIGHT","PEDESTRIAN","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2021-12-31T12:47:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","951","S","ASHLAND AVE","1231",,,,,,,"2","INCAPACITATING INJURY","1","0","1","0","0","2","0","12","6","12","41.869323261","-87.666316296","POINT (-87.666316295994 41.869323261187)"
"a2fc08d7c5bbd1ef56f6dd1023c07951985f35614b4d9c7a91ba707a9c4de33cba1a058342fe8967b7d18d588be888e0ea40cebafe01729203744483dbbaa436","JF103110",,"2021-12-31T12:45:00.000","10","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","REAR TO SIDE","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2022-01-04T13:00:00.000","IMPROPER BACKING","NOT APPLICABLE","353","W","83RD ST","622",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","12","6","12","41.743401412","-87.633768585","POINT (-87.633768585157 41.743401411902)"
"f7999cfcb19a2e2fa3ac1a0c374b58a18474fbec81464fd37a1aa86ca45a99af988f96c6049801d439accb95867c1882cb57f2713054dd36c894cdd71e6daf74","JE493962",,"2021-12-31T12:45:00.000","15","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","ANGLE","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2021-12-31T13:31:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","5516","N","CLARK ST","2012",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","12","6","12","41.982189885","-87.668651628","POINT (-87.668651627961 41.982189884614)"
"d6b30daf6d409e36503555e11c38be88be9c6a219133869945988acc6034ae514c3c907772673859fefe83127de044baf9c6b119ff915e2a70b992b6105e8d26","JE493954",,"2021-12-31T12:45:00.000","30","NO CONTROLS","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","$500 OR LESS","2021-12-31T13:27:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","2738","N","LARAMIE AVE","2514",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","12","6","12","41.930769008","-87.756544183","POINT (-87.756544183131 41.930769007779)"
"d6023c5fbeb45276b6885272212a98dbd1d1efaf4ab470ef15b938029ebd992fac862800cfd091a9979ced79893c1bcbbba264a5414fe8db1d486baa951738eb","JE493949",,"2021-12-31T12:40:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2021-12-31T13:15:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","701","W","ADDISON ST","1925",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","12","6","12","41.947215249","-87.647368004","POINT (-87.64736800403 41.947215249289)"
"d5a794a66ae75be7eef84fe0d96e68164db1a205522e37ba13d93bbc3d22477645d9f3ce0bb71ffd73968960bd9d73cd0ad0698b7aa9f3109b8c08383ba1d6d9","JE493934",,"2021-12-31T12:35:00.000","30","NO CONTROLS","NO CONTROLS","CLOUDY/OVERCAST","DAYLIGHT","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","$500 OR LESS","2021-12-31T12:45:00.000","FOLLOWING TOO CLOSELY","UNABLE TO DETERMINE","732","W","59TH ST","711",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","12","6","12","41.787153556","-87.643826023","POINT (-87.643826023143 41.787153556462)"
"f54713d6bd4a2f0c5b1237713c35202c186b3008f9a720a624c832b679c559c9540933874fc521aefc476da7d516da28e8503e2a3f2bfe1fe1745adbf6849756","JF102694",,"2021-12-31T12:30:00.000","30","TRAFFIC SIGNAL","UNKNOWN","UNKNOWN","UNKNOWN","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","INJURY AND / OR TOW DUE TO CRASH",,,,"$500 OR LESS","2022-01-04T00:20:00.000","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)","FAILING TO YIELD RIGHT-OF-WAY","8600","S","COTTAGE GROVE AVE","632",,,,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","1","0","12","6","12","41.738369891","-87.605018997","POINT (-87.605018996828 41.738369891427)"
"d3394aad2f75a822b92a1bb385d43e6abc335bf9002ec01f02263e63742e2db169e40a3fcd7f89d6ed595cbb28d0ad61cbda47841fd54db194a39b8cd256f376","JE493998",,"2021-12-31T12:30:00.000","25","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","UNKNOWN","UNKNOWN","REAR END","T-INTERSECTION",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2021-12-31T14:00:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","8104","S","COTTAGE GROVE AVE","631",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","12","6","12","41.747419748","-87.605275235","POINT (-87.605275234669 41.747419748263)"
"4056ae957c7e293f83b458945e7e32c50f635ea49a12723b6a2d2a985b45190d1aa55e1f2c405d0b5776cd66af0495999d8aca704e96f947577f48face824f9e","JE493957",,"2021-12-31T12:30:00.000","30","UNKNOWN","UNKNOWN","CLEAR","DAYLIGHT","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2021-12-31T13:00:00.000","IMPROPER TURNING/NO SIGNAL","NOT APPLICABLE","3527","W","ARMITAGE AVE","1422",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","12","6","12","41.91719803","-87.714660372","POINT (-87.714660372195 41.917198029831)"
"d9cf9c4a6b7263e48e612f6d2d041080efe9af446ff378ef33f1ca8ccbc0b541168f139f331ee9fdffc87c868a52efdac55c53e33857f41538c1486596ac9b63","JE493940",,"2021-12-31T12:20:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DAYLIGHT","FIXED OBJECT","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2021-12-31T12:46:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","1437","E","94TH ST","413",,,,,,,"1","NO INDICATION OF INJURY","0","0","0","0","0","1","0","12","6","12","41.723691222","-87.58724519","POINT (-87.58724519022 41.723691222267)"
"1f4e04f1aa0e46ea1ecba896923870ef2b2e4eed7f73da74bdd87ad40500a7a95b9c9a6b22b2189c2713210f6fc8fa29d3ff0c18783981ac916d54bd58744fc7","JE493947",,"2021-12-31T12:13:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","$500 OR LESS","2021-12-31T13:08:00.000","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","PHYSICAL CONDITION OF DRIVER","206","S","WHIPPLE ST","1124",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","12","6","12","41.877990339","-87.702516496","POINT (-87.70251649572 41.877990339071)"
"9d36131852925b709f35a2eef49fc0f209a6e38ac912ce77b600ddbb246a39419f5f63715fde3e57b0ae1970bf69353de2aaf381be0f153ed51e7c6d32adc9fd","JE493894",,"2021-12-31T12:10:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2021-12-31T12:15:00.000","IMPROPER TURNING/NO SIGNAL","NOT APPLICABLE","5228","S","ARCHER AVE","815",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","12","6","12","41.799887482","-87.735911008","POINT (-87.735911008403 41.799887481619)"
"d12d50f24317618fc9a0b6ea8bea73cc8caa5040d73d006e4234bd9efca3fb9b0977fb0894f2d74ea216cc9346ee26ba0ccdf0fc169147e1ca5f14c9ec8e8651","JE493909",,"2021-12-31T12:06:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","OVERTURNED","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2021-12-31T12:12:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","530","N","PEORIA ST","1214",,,,,,,"1","NO INDICATION OF INJURY","0","0","0","0","0","1","0","12","6","12","41.892169278","-87.65013008","POINT (-87.650130079748 41.892169278182)"
"b2a883f0294e88a60533a76ac5b986dc68e66908adbbd799f7d45315fff65d1ee7776e3f6e748e6e0ad2b07b0801d517a1f212090fe83da69908b0588d25a502","JE493942",,"2021-12-31T12:05:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLOUDY/OVERCAST","DAYLIGHT","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2021-12-31T13:15:00.000","DISREGARDING TRAFFIC SIGNALS","NOT APPLICABLE","10000","S","TORRENCE AVE","431",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","12","6","12","41.713373857","-87.559894682","POINT (-87.559894682333 41.71337385748)"
"bfb452d8bde44f56587b494a3291dae40a47c5c64eb3d2d9ae0f22dfd0b272a2e4c88039ed18ad86f5586a08b27b2ff55e2a33803044602458d555ab6bc8dc5d","JE493911",,"2021-12-31T12:05:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLOUDY/OVERCAST","DAYLIGHT","REAR END","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","$501 - $1,500","2021-12-31T12:15:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","802","N","STATE ST","1832",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","12","6","12","41.896786527","-87.628348935","POINT (-87.628348934533 41.896786527468)"
"7d3a0bd116bb0c1b554f0c4772e6a04790b724b858e50c3cb2270b70ee19a8995322f307e7a275a75d2b144cc145ac767f9728e1617fdb3e1078c93a9e9a7786","JE493914",,"2021-12-31T12:01:00.000","25","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","ANGLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2021-12-31T12:40:00.000","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","FAILING TO REDUCE SPEED TO AVOID CRASH","345","E","NORTH WATER ST","1834",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","12","6","12","41.889406677","-87.618988185","POINT (-87.618988184767 41.889406676949)"
