"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1255348","DRIVER","db62bb4534d0dae57112ea3ff8d50193784aaa732ed58d1fe2f7ccb826798a0e6c56cf119a5102e696b79aa081ef0af9f96ba1779d17bc7fcc258675d53ae540","JE494000","1191606","2021-12-31T13:45:00.000",,"CHICAGI","IL","60617","F","28","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255362","DRIVER","7be2d128e14efdcb70fdbf27dbe8fd18f31a045118f2b03095d02cc94e1d425027841c74d144734dc8ed2e59b29bb8a351ef18db34649ca75dff5e009bc5a746","JE493993","1191619","2021-12-31T13:40:00.000",,"CHICAGO","IL","60619","F","30","IL","D","USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","WINDSHIELD (WATER/ICE)","NORMAL",,,,"TEST NOT OFFERED",,
"O1255363","DRIVER","7be2d128e14efdcb70fdbf27dbe8fd18f31a045118f2b03095d02cc94e1d425027841c74d144734dc8ed2e59b29bb8a351ef18db34649ca75dff5e009bc5a746","JE493993","1191626","2021-12-31T13:40:00.000",,"CHICAGO","IL","60628","F","41","IL",,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255364","DRIVER","7be2d128e14efdcb70fdbf27dbe8fd18f31a045118f2b03095d02cc94e1d425027841c74d144734dc8ed2e59b29bb8a351ef18db34649ca75dff5e009bc5a746","JE493993","1191638","2021-12-31T13:40:00.000",,"CHICAGO","IL","60617","M","33","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280651","PASSENGER","7be2d128e14efdcb70fdbf27dbe8fd18f31a045118f2b03095d02cc94e1d425027841c74d144734dc8ed2e59b29bb8a351ef18db34649ca75dff5e009bc5a746","JE493993","1191638","2021-12-31T13:40:00.000","3","BURNHAM","IL","60633","M","18",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280652","PASSENGER","7be2d128e14efdcb70fdbf27dbe8fd18f31a045118f2b03095d02cc94e1d425027841c74d144734dc8ed2e59b29bb8a351ef18db34649ca75dff5e009bc5a746","JE493993","1191638","2021-12-31T13:40:00.000","4","BURNHAM","IL","60633",,"7",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255356","DRIVER","b21c3c048ac319f0fca67804ab0fce0149c97d11a850fff5aba1e5d123ae0cbaec29799c1bc7e289e70303e2167606867a2e888220a341464d5d2818e8745b9f","JE494019","1191610","2021-12-31T13:31:00.000",,,,,"M","33","IL","C","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255357","DRIVER","b21c3c048ac319f0fca67804ab0fce0149c97d11a850fff5aba1e5d123ae0cbaec29799c1bc7e289e70303e2167606867a2e888220a341464d5d2818e8745b9f","JE494019","1191621","2021-12-31T13:31:00.000",,"BETTENDORF","IA","52722","M","25","IA","C","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255954","DRIVER","0ff41d1ad3fb1e9bba0015c72222f5569df3b1254ce9d09e8aaf2414f408e31fc293b445df4c28a3e3cccf0fc89adc33e08720ed706c27a110c92ba5854a77a4","JF100566","1192147","2021-12-31T13:30:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255339","DRIVER","1c34763adabf56d36bdf33806e026a5f6794b1e7a3ca5c43ca4d7ef8d9bd13c70989498247ef0428df9ee1f83f66863bd254e5042510c7c462ff2fe4812468ac","JE494010","1191597","2021-12-31T13:30:00.000",,,,,"M","19","IL","D","SHOULD/LAP BELT USED IMPROPERLY","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255340","DRIVER","1c34763adabf56d36bdf33806e026a5f6794b1e7a3ca5c43ca4d7ef8d9bd13c70989498247ef0428df9ee1f83f66863bd254e5042510c7c462ff2fe4812468ac","JE494010","1191599","2021-12-31T13:30:00.000",,"CHICAGO","IL","60628","F","50","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255326","DRIVER","1e45565493f63101bf704046d6ecfec55f57c832334671cf7043df50f1222915174a4053d8b6b4320262dceb519dd5720f08ae7b2a4fa2b4a668c1fc6319f2a8","JE493968","1191584","2021-12-31T13:30:00.000",,"CHICAGO","IL","60619","M","27","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280642","PASSENGER","1e45565493f63101bf704046d6ecfec55f57c832334671cf7043df50f1222915174a4053d8b6b4320262dceb519dd5720f08ae7b2a4fa2b4a668c1fc6319f2a8","JE493968","1191584","2021-12-31T13:30:00.000","3","OAK LAWN","IL","60453","F","29",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280643","PASSENGER","1e45565493f63101bf704046d6ecfec55f57c832334671cf7043df50f1222915174a4053d8b6b4320262dceb519dd5720f08ae7b2a4fa2b4a668c1fc6319f2a8","JE493968","1191578","2021-12-31T13:30:00.000","1",,,,,,,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255492","DRIVER","77431b38762c7d632f83881886b3a1c94a52f6cb17ad6eedfee76629d0f68ad6def7faaa8fa348e4c706996b4c45476a864223b5c0e7e76cfff2b41ba4d527a4","JE494024","1191741","2021-12-31T13:30:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255927","DRIVER","7e1a75d221f1f538b80def6a7c5f9f522a3309108eb18f9d0cb43e7c0eaa00b826faa099391ab318e4988c3b7ca5670033be16f0d43c080471efd354b8de2f51","JE493975","1192113","2021-12-31T13:30:00.000",,"CHICAGO","IL",,"M","64","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255928","DRIVER","7e1a75d221f1f538b80def6a7c5f9f522a3309108eb18f9d0cb43e7c0eaa00b826faa099391ab318e4988c3b7ca5670033be16f0d43c080471efd354b8de2f51","JE493975","1192119","2021-12-31T13:30:00.000",,,,,"M","58","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255341","DRIVER","d190dd973dea076b750308dff1272f56fa724e93d8a54cb16ee56cbb070522c4ca87ec75ffc9a8c1c10971aa391d872096c92bee4351fead8e0b01a6caada0e7","JE493990","1191595","2021-12-31T13:30:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1256350","DRIVER","ff9ed4054cd9f4b2908d1e1ef79a4e70d752a0ba7907b22b071276601c1b2b983b557104350e906a691182b8c07f753462a5d72d906d0f7d4ca74ed0d8bbe387","JF101317","1192530","2021-12-31T13:30:00.000",,,,,"M","60","IL",,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1256351","DRIVER","ff9ed4054cd9f4b2908d1e1ef79a4e70d752a0ba7907b22b071276601c1b2b983b557104350e906a691182b8c07f753462a5d72d906d0f7d4ca74ed0d8bbe387","JF101317","1192535","2021-12-31T13:30:00.000",,,,,"M","47","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255345","DRIVER","06961f67044ff197083bc79024a5aaab4ebbe7c404d70d08317ff06c1f5a20bfa80d9d52cf7fb6e3c492d9980a8852196589523eefea991e0c6fb8ee7b22b6df","JE493995","1191598","2021-12-31T13:28:00.000",,"CHICAGO","IL","60609","F","20","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","DECLINED",,,"OTHER","MOVING VEHICLES","NORMAL",,,,"TEST NOT OFFERED",,
"O1255346","DRIVER","06961f67044ff197083bc79024a5aaab4ebbe7c404d70d08317ff06c1f5a20bfa80d9d52cf7fb6e3c492d9980a8852196589523eefea991e0c6fb8ee7b22b6df","JE493995","1191603","2021-12-31T13:28:00.000",,"CHICAGO","IL","60609","F","30","IL","D","SAFETY BELT USED","DEPLOYED, SIDE","NONE","NONINCAPACITATING INJURY","DECLINED",,,"OTHER","MOVING VEHICLES","NORMAL",,,,"TEST NOT OFFERED",,
"P280644","PASSENGER","06961f67044ff197083bc79024a5aaab4ebbe7c404d70d08317ff06c1f5a20bfa80d9d52cf7fb6e3c492d9980a8852196589523eefea991e0c6fb8ee7b22b6df","JE493995","1191598","2021-12-31T13:28:00.000","3","CHICAGO","IL","60609","M","19",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NONINCAPACITATING INJURY","DECLINED",,,,,,,,,,,
"P280645","PASSENGER","06961f67044ff197083bc79024a5aaab4ebbe7c404d70d08317ff06c1f5a20bfa80d9d52cf7fb6e3c492d9980a8852196589523eefea991e0c6fb8ee7b22b6df","JE493995","1191603","2021-12-31T13:28:00.000","3","CHICAGO","IL","60609","M","34",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","DECLINED",,,,,,,,,,,
"O1256815","DRIVER","05a62c985bffdfb91b5fc5250b8cbb4cb0a0647bb06387151c752e49874a403fd5d864f4f2549404b19aa5f49c8f1b50f934fccf990aba764670588a215d8deb","JF102122","1192982","2021-12-31T13:00:00.000",,"CHICAGO","IL",,"M","30","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1256816","DRIVER","05a62c985bffdfb91b5fc5250b8cbb4cb0a0647bb06387151c752e49874a403fd5d864f4f2549404b19aa5f49c8f1b50f934fccf990aba764670588a215d8deb","JF102122","1192977","2021-12-31T13:00:00.000",,"CHICAGO","IL","60632","F","60","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255294","DRIVER","0ccaf8fc934aca647afd767054141022c18b74d15c78a67c7477e1885c4f2b87d180001ace77fe993a909a5c3464dc9ff14873226e5ef0fa4a8bbcf3f3a1e9f6","JE493939","1191564","2021-12-31T13:00:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1258505","DRIVER","9c863403d810d021c785ee768f4ceebdace75f5b4362125cdf5ab4878354be2fdd87dad89e20d7cc9eae3d7c87fe1663e574fa94e83f1c2aa202d086d9e6382e","JF105091","1194606","2021-12-31T13:00:00.000",,"CHICAGO","IL","60607","F","30","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255329","DRIVER","62acc5daf51d9f8af2f3e70098904e0a241fdd024b463725e54f379313b888d187472054e2414c5868c894280606c81a358b099b9d6bcd747136f83465f6bf13","JE493932","1191581","2021-12-31T12:47:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255330","PEDESTRIAN","62acc5daf51d9f8af2f3e70098904e0a241fdd024b463725e54f379313b888d187472054e2414c5868c894280606c81a358b099b9d6bcd747136f83465f6bf13","JE493932",,"2021-12-31T12:47:00.000",,,,,"M","63",,,"NONE PRESENT",,,"INCAPACITATING INJURY","STROGER","CFD 33",,"NONE","UNKNOWN","UNKNOWN","STANDING IN ROADWAY","NO CONTRASTING CLOTHING","IN ROADWAY","TEST NOT OFFERED",,
"P280641","PASSENGER","62acc5daf51d9f8af2f3e70098904e0a241fdd024b463725e54f379313b888d187472054e2414c5868c894280606c81a358b099b9d6bcd747136f83465f6bf13","JE493932","1191581","2021-12-31T12:47:00.000","3",,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1257503","DRIVER","a2fc08d7c5bbd1ef56f6dd1023c07951985f35614b4d9c7a91ba707a9c4de33cba1a058342fe8967b7d18d588be888e0ea40cebafe01729203744483dbbaa436","JF103110","1193644","2021-12-31T12:45:00.000",,"CHICAGO","IL","60619","M","44","IL","A","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER BACKING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1257504","DRIVER","a2fc08d7c5bbd1ef56f6dd1023c07951985f35614b4d9c7a91ba707a9c4de33cba1a058342fe8967b7d18d588be888e0ea40cebafe01729203744483dbbaa436","JF103110","1193650","2021-12-31T12:45:00.000",,"CHICAGO","IL","60620","F","57",,"D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255292","DRIVER","d6b30daf6d409e36503555e11c38be88be9c6a219133869945988acc6034ae514c3c907772673859fefe83127de044baf9c6b119ff915e2a70b992b6105e8d26","JE493954","1191560","2021-12-31T12:45:00.000",,,,,"M",,,,"HELMET NOT USED","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255312","DRIVER","f7999cfcb19a2e2fa3ac1a0c374b58a18474fbec81464fd37a1aa86ca45a99af988f96c6049801d439accb95867c1882cb57f2713054dd36c894cdd71e6daf74","JE493962","1191570","2021-12-31T12:45:00.000",,"CHICAGO","IL","60660","M","72","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER BACKING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255313","DRIVER","f7999cfcb19a2e2fa3ac1a0c374b58a18474fbec81464fd37a1aa86ca45a99af988f96c6049801d439accb95867c1882cb57f2713054dd36c894cdd71e6daf74","JE493962","1191575","2021-12-31T12:45:00.000",,"CHICAGO","IL","60659","M","61","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255287","DRIVER","d6023c5fbeb45276b6885272212a98dbd1d1efaf4ab470ef15b938029ebd992fac862800cfd091a9979ced79893c1bcbbba264a5414fe8db1d486baa951738eb","JE493949","1191557","2021-12-31T12:40:00.000",,"CHICAGO","IL","60641","M","47","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255288","DRIVER","d6023c5fbeb45276b6885272212a98dbd1d1efaf4ab470ef15b938029ebd992fac862800cfd091a9979ced79893c1bcbbba264a5414fe8db1d486baa951738eb","JE493949","1191567","2021-12-31T12:40:00.000",,"CHICAGO","IL","60613","F","23","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280639","PASSENGER","d6023c5fbeb45276b6885272212a98dbd1d1efaf4ab470ef15b938029ebd992fac862800cfd091a9979ced79893c1bcbbba264a5414fe8db1d486baa951738eb","JE493949","1191567","2021-12-31T12:40:00.000","3","CHICAGO","IL","60613","F","23",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280640","PASSENGER","d6023c5fbeb45276b6885272212a98dbd1d1efaf4ab470ef15b938029ebd992fac862800cfd091a9979ced79893c1bcbbba264a5414fe8db1d486baa951738eb","JE493949","1191567","2021-12-31T12:40:00.000","6","CHICAGO","IL","60613","F","23",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255285","DRIVER","d5a794a66ae75be7eef84fe0d96e68164db1a205522e37ba13d93bbc3d22477645d9f3ce0bb71ffd73968960bd9d73cd0ad0698b7aa9f3109b8c08383ba1d6d9","JE493934","1191555","2021-12-31T12:35:00.000",,,,,"M",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255286","DRIVER","d5a794a66ae75be7eef84fe0d96e68164db1a205522e37ba13d93bbc3d22477645d9f3ce0bb71ffd73968960bd9d73cd0ad0698b7aa9f3109b8c08383ba1d6d9","JE493934","1191558","2021-12-31T12:35:00.000",,"SOUTH HOLLND","IL","60473","F","18","IL","B","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255310","DRIVER","4056ae957c7e293f83b458945e7e32c50f635ea49a12723b6a2d2a985b45190d1aa55e1f2c405d0b5776cd66af0495999d8aca704e96f947577f48face824f9e","JE493957","1191568","2021-12-31T12:30:00.000",,"CHICAGO","IL","60643","M","34","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER TURN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255311","DRIVER","4056ae957c7e293f83b458945e7e32c50f635ea49a12723b6a2d2a985b45190d1aa55e1f2c405d0b5776cd66af0495999d8aca704e96f947577f48face824f9e","JE493957","1191574","2021-12-31T12:30:00.000",,"CHICAGO","IL","60608","M","33","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255335","DRIVER","d3394aad2f75a822b92a1bb385d43e6abc335bf9002ec01f02263e63742e2db169e40a3fcd7f89d6ed595cbb28d0ad61cbda47841fd54db194a39b8cd256f376","JE493998","1191590","2021-12-31T12:30:00.000",,"CHICAGO","IL",,"F","25","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255336","DRIVER","d3394aad2f75a822b92a1bb385d43e6abc335bf9002ec01f02263e63742e2db169e40a3fcd7f89d6ed595cbb28d0ad61cbda47841fd54db194a39b8cd256f376","JE493998","1191592","2021-12-31T12:30:00.000",,"CHICAGO","IL",,"F","43","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1257177","DRIVER","f54713d6bd4a2f0c5b1237713c35202c186b3008f9a720a624c832b679c559c9540933874fc521aefc476da7d516da28e8503e2a3f2bfe1fe1745adbf6849756","JF102694","1193331","2021-12-31T12:30:00.000",,"CHICAGO","IL","60619","F","25","IL",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","REPORTED, NOT EVIDENT",,,,"FAILED TO YIELD","MOVING VEHICLES","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1257178","DRIVER","f54713d6bd4a2f0c5b1237713c35202c186b3008f9a720a624c832b679c559c9540933874fc521aefc476da7d516da28e8503e2a3f2bfe1fe1745adbf6849756","JF102694","1193333","2021-12-31T12:30:00.000",,"CHICAGO","IL","60637","F","43","IL",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255324","DRIVER","d9cf9c4a6b7263e48e612f6d2d041080efe9af446ff378ef33f1ca8ccbc0b541168f139f331ee9fdffc87c868a52efdac55c53e33857f41538c1486596ac9b63","JE493940","1191577","2021-12-31T12:20:00.000",,,,"60624","X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255322","DRIVER","1f4e04f1aa0e46ea1ecba896923870ef2b2e4eed7f73da74bdd87ad40500a7a95b9c9a6b22b2189c2713210f6fc8fa29d3ff0c18783981ac916d54bd58744fc7","JE493947","1191576","2021-12-31T12:13:00.000",,,,,"M",,"XX",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
